FirstName,LastName,Position,FinalRating,Acc,Speed,Power,Accuracy,Penalty,ShortPass,LongPass,Agility,Control,Strength,Stealing
Ken,Carlson,Forward,69.199,69,61,44,94,80,72,70,73,76,53,62
Axel,Kaplan,Forward,68.402,52,73,99,62,57,62,70,58,73,58,84
Colt,Ventura,Forward,63.083,80,78,67,45,64,66,41,68,75,57,67
Bishop,Reinhart,Midfield,76.512,75,51,88,63,95,73,88,90,60,60,66
Kolten,Shin,Defender,62.95,72,49,73,68,72,92,46,50,61,74,50
Jake,Grooms,Defender,69.465,74,55,80,64,82,82,51,54,59,76,79
Giancarlo,Ferguson,Midfield,67.205,86,60,68,99,60,51,89,36,71,63,56
Gustavo,Valles,Defender,68.934,76,62,67,63,68,67,84,62,80,63,60
Dakoda,Argueta,Forward,56.701,33,64,60,81,60,68,52,64,38,58,82
Lincoln,Olivo,Defender,59.759,66,58,40,58,88,52,72,47,84,59,59
Cecil,Painter,Defender,73.055,48,49,61,69,72,91,71,81,73,80,88
Shelton,Valdes,Forward,74.119,75,57,71,47,65,82,97,79,83,63,72
Dakota,Cooke,Forward,80.235,95,88,45,78,86,78,76,90,77,62,62
Rey,Cramer,Midfield,64.147,58,61,55,43,80,69,68,68,73,75,66
Devan,Baughman,Forward,69.332,73,58,71,91,81,62,71,78,49,55,66
Russell,Santoro,Midfield,70.662,56,76,80,82,83,90,66,81,58,32,61
Shayne,Krause,Forward,63.615,57,73,52,60,82,79,57,72,73,64,43
Efrain,Card,Defender,57.499,60,55,59,58,68,75,88,64,54,21,64
Denis,Manuel,Midfield,64.812,52,60,85,55,69,75,84,65,99,29,48
Jamel,Hinojosa,Defender,64.812,41,72,85,80,67,64,45,51,50,82,84
Tommy,Huston,Goaltender,61.753,59,86,45,53,58,54,76,50,52,93,72
William,Gage,Forward,74.784,72,40,86,85,74,60,81,80,68,73,77
Frankie,Wiseman,Forward,72.922,73,72,59,85,80,61,98,69,55,80,50
Emanuel,Gaither,Midfield,71.061,84,72,59,68,67,80,60,88,79,62,49
Rey,Nadeau,Defender,69.864,57,50,83,81,76,69,79,77,61,89,37
Irving,Liang,Defender,73.055,84,77,84,69,47,88,88,60,75,55,56
Roger,Schmid,Forward,77.576,66,58,64,54,73,84,67,87,80,99,85
Brodie,Tidwell,Midfield,76.38,80,67,61,80,80,90,76,71,70,77,56
Jaime,Roark,Forward,71.859,74,61,66,78,98,72,67,67,64,63,64
Diego,Alfaro,Forward,66.54,54,58,83,80,54,73,76,56,75,54,71
Daniel,Whitaker,Defender,65.078,49,51,98,86,71,54,68,76,67,58,45
Brennan,Curley,Forward,67.604,48,65,99,86,43,80,91,66,66,56,42
Guy,Townsend,Forward,79.97,54,66,68,83,94,98,72,77,68,81,74
Stone,Beatty,Defender,69.864,67,73,88,66,70,49,78,58,77,66,67
Blaze,Kuntz,Midfield,74.518,70,55,64,84,69,82,85,75,72,69,69
Antonio,Benavides,Defender,78.773,84,86,74,81,88,78,69,65,62,74,65
Everett,Fields,Midfield,66.008,41,66,55,61,72,69,43,65,74,99,85
Semaj,Olivo,Goaltender,68.535,84,36,57,65,61,72,75,45,99,91,64
Zaire,Brito,Forward,61.62,44,49,56,74,72,58,52,71,77,79,65
Micah,Merritt,Defender,71.061,75,82,81,58,82,65,83,55,55,62,70
Adrian,Yost,Defender,74.518,75,74,59,77,99,85,80,62,81,53,49
Tevin,Cary,Defender,59.626,75,71,59,69,76,43,56,47,75,42,69
Julio,Vogt,Midfield,75.848,65,54,76,99,67,91,80,66,76,59,71
Ronald,Pinkerton,Defender,64.812,78,49,55,55,76,67,58,66,54,81,82
Jamaal,Harwood,Defender,78.773,78,95,56,65,77,82,84,99,54,77,59
Bradley,Simonson,Forward,78.64,63,54,83,57,99,94,88,70,65,70,82
Blake,Osborne,Defender,75.582,81,75,91,77,87,68,69,60,71,56,67
Alek,Douglass,Forward,57.898,79,58,55,52,64,41,71,69,60,38,82
Jonas,Ridgeway,Midfield,73.986,73,58,70,54,64,72,71,65,92,89,82
Steve,Pollock,Forward,60.291,64,87,62,54,73,47,75,59,76,52,38
Sabastian,Stack,Defender,75.981,78,92,72,74,90,71,80,62,59,57,70
Chad,Barfield,Defender,69.199,92,75,74,81,99,62,58,71,53,39,50
Bryan,Hofmann,Midfield,72.125,81,79,72,68,98,60,61,67,72,55,63
Cannon,Grimes,Forward,54.706,73,55,62,61,33,49,82,63,75,54,38
Edmund,McDowell,Midfield,62.95,57,48,68,76,74,66,70,68,69,51,60
Leif,Talbert,Midfield,55.238,39,51,64,57,57,74,53,49,50,86,69
Caleb,Barber,Defender,59.094,58,50,74,79,74,71,40,55,55,77,45
Kaden,Arevalo,Midfield,64.812,73,75,58,43,66,71,92,72,69,57,45
Messiah,Burnside,Goaltender,64.945,65,58,86,39,71,65,50,86,63,73,66
Nico,Guthrie,Defender,57.765,66,54,72,63,78,66,55,41,67,56,50
Braiden,Ely,Goaltender,72.258,52,67,75,67,58,74,69,65,79,97,74
Izaiah,Stowe,Midfield,78.108,74,59,81,81,90,84,73,74,73,64,68
Quinton,Hacker,Midfield,74.385,56,73,70,85,66,69,53,65,59,99,98
Dashaun,Schindler,Defender,65.211,62,54,80,45,81,77,74,58,60,61,72
Kyle,Atwood,Forward,69.731,72,72,88,69,70,54,65,83,54,67,64
Keyshawn,Geiger,Defender,63.615,78,51,65,59,52,69,63,44,59,85,87
Triston,Salvador,Forward,64.679,52,81,73,42,41,65,84,72,74,73,63
Allan,Chaney,Forward,63.349,54,99,79,54,41,97,55,64,43,64,60
Isaak,Leal,Goaltender,67.604,54,75,81,67,60,71,71,80,73,52,58
Abraham,Carlos,Midfield,74.917,80,91,59,89,84,59,78,69,68,57,63
Alberto,Pinkerton,Defender,69.598,75,55,46,75,44,50,84,81,99,87,61
Will,Downs,Forward,68.801,63,64,73,58,76,86,66,75,63,60,67
Orlando,Song,Midfield,67.87,50,61,73,90,60,55,52,54,87,84,78
Jarrett,Cormier,Defender,63.615,60,75,55,65,57,86,45,63,61,65,80
Remington,Hwang,Forward,69.066,90,72,74,54,64,44,82,71,63,87,52
Jamison,Godinez,Defender,71.726,69,54,65,68,51,71,80,70,64,82,99
Bryson,Pitts,Forward,70.662,65,64,92,60,70,64,62,71,76,80,61
Keelan,Dowling,Defender,69.864,67,63,85,92,44,77,52,80,80,63,56
Conor,Newell,Midfield,72.657,64,77,73,82,82,88,56,61,57,70,70
Abel,Pence,Forward,74.917,64,90,77,73,82,76,70,56,83,65,61
Estevan,Cary,Goaltender,63.615,61,58,63,64,59,84,58,67,44,81,73
Hudson,Sierra,Midfield,64.28,70,62,71,77,58,62,47,64,65,42,99
Craig,Fitch,Defender,58.828,73,50,59,78,70,65,62,31,53,61,74
Ivan,Chavis,Defender,71.327,83,58,65,48,64,50,75,99,83,95,50
Mikel,Shuler,Midfield,70.263,65,49,94,78,69,71,74,80,62,46,74
Tye,Simonson,Forward,67.604,50,64,63,72,78,89,54,76,60,70,66
Dayne,Wheat,Defender,71.46,98,50,69,80,61,82,74,67,76,58,56
Pierre,Valdivia,Defender,77.709,94,78,73,74,94,63,78,48,67,81,68
Jacob,Song,Defender,73.055,47,63,73,77,69,75,86,66,83,91,53
Dashaun,Anthony,Defender,70.263,70,69,74,71,78,56,52,73,77,77,65
Rickey,Quintero,Forward,64.413,53,54,61,50,88,71,77,57,76,75,56
Jarret,McClellan,Forward,61.62,72,73,66,48,74,86,37,58,52,64,67
Bryson,Kurtz,Defender,56.967,44,37,94,44,50,69,75,66,58,72,53
Austin,Foley,Forward,67.205,58,78,77,70,60,73,82,62,52,67,60
Harry,Kopp,Defender,61.488,57,35,96,76,93,61,67,57,48,52,54
Jonathon,Geiger,Goaltender,61.488,71,61,80,55,69,66,60,70,65,43,56
Jaylon,Burnside,Defender,71.061,74,66,84,59,80,79,76,60,55,67,68
Rahul,Keegan,Goaltender,62.551,85,52,64,69,60,47,62,81,69,58,57
Blaise,Fitzsimmons,Forward,81.166,81,63,92,99,65,70,85,85,74,69,61
Dayton,Somers,Forward,75.449,61,63,82,93,92,63,74,64,72,59,78
Mckinley,Finley,Forward,69.731,82,71,74,63,92,88,75,49,51,57,56
Ezra,Schmid,Midfield,74.119,77,83,86,68,77,54,63,66,79,62,76
Jack,Dowling,Midfield,68.535,66,76,56,71,64,68,72,59,56,78,83
Dane,Reed,Goaltender,75.449,74,76,87,81,80,96,45,65,64,74,59
Tyrell,Hines,Goaltender,71.061,89,69,88,86,54,68,77,76,46,54,61
Nathaniel,Groff,Midfield,83.56,70,79,90,76,75,99,82,89,82,67,53
Blaine,Nowak,Forward,69.199,78,57,72,86,50,74,82,63,64,62,66
Isidro,Maloney,Forward,69.598,56,82,75,59,83,81,74,69,46,65,67
Zachery,Holman,Forward,73.454,79,69,70,92,75,76,60,71,76,58,60
Troy,Akin,Forward,67.471,75,61,81,74,62,65,68,51,73,65,66
Calvin,Butcher,Defender,72.524,78,61,99,67,76,78,86,60,68,50,56
Kaleb,Cannon,Midfield,72.258,89,89,82,49,82,84,61,66,92,33,50
Tevin,Painter,Midfield,64.812,66,67,59,76,42,69,66,64,46,88,78
Konner,Ng,Forward,83.294,86,86,69,87,60,84,81,63,78,71,95
Treyvon,Alfaro,Midfield,73.986,76,65,60,92,71,74,83,76,60,67,66
Caden,Welch,Forward,68.535,82,52,57,87,80,64,73,57,79,59,59
Tyler,Harmon,Defender,68.801,72,67,66,85,69,72,84,59,38,52,87
Kirk,Sorrell,Midfield,63.349,59,58,59,88,51,90,58,61,75,53,58
Tayler,Ponce,Forward,62.019,53,70,65,71,47,65,58,69,63,68,71
Quinten,Martens,Defender,68.801,64,76,84,77,72,79,79,51,54,52,63
Braeden,Doughty,Defender,66.274,78,53,44,59,57,55,67,56,67,99,97
Dakota,Rosas,Defender,77.842,60,59,91,82,99,85,86,68,40,86,63
Ernest,Whitworth,Forward,62.019,62,51,64,61,61,57,80,62,42,84,76
Jarrod,Baughman,Midfield,69.199,60,76,56,74,57,68,73,93,70,70,57
Marcanthony,Solis,Goaltender,68.402,68,77,96,79,65,57,61,63,54,59,69
Devonta,Luciano,Defender,76.247,66,62,99,65,92,91,66,51,99,62,54
Sergio,Olivo,Forward,66.008,58,64,58,73,67,69,57,63,67,67,87
Judah,Estep,Forward,64.945,63,67,59,99,66,61,38,65,76,50,78
Ean,Baldwin,Goaltender,59.36,50,57,71,68,62,58,68,64,46,81,55
Lyle,Valles,Defender,70.662,75,89,78,71,40,49,82,70,82,66,63
Cannon,Hamby,Defender,60.557,69,51,47,61,60,56,71,55,73,67,79
Jay,Martell,Goaltender,61.886,71,77,50,68,55,84,56,48,44,73,73
Jairo,Alfaro,Midfield,72.391,66,82,99,50,80,73,63,60,47,87,71
Orion,Keegan,Defender,58.03,64,84,50,62,49,52,84,60,69,54,42
Tavon,Zink,Forward,83.161,92,68,71,96,75,85,66,84,70,77,75
Jamison,Seward,Goaltender,66.806,46,85,68,68,79,86,74,53,31,55,91
Antonio,Krause,Forward,83.427,71,67,76,66,88,97,88,76,80,74,78
German,Santamaria,Forward,81.299,97,71,99,80,66,99,74,73,43,61,82
Stanley,Delarosa,Defender,77.31,80,82,74,62,87,93,71,64,66,80,56
Jack,Schaffer,Midfield,77.842,85,63,61,63,81,76,73,84,62,84,87
Marcos,Salvador,Midfield,80.767,87,63,90,94,68,86,86,81,68,70,48
Ari,Hidalgo,Midfield,50.584,79,59,72,61,26,67,60,29,64,49,48
Fabian,Schafer,Forward,67.604,65,86,87,77,68,64,61,41,53,69,71
Jamir,Fitzsimmons,Defender,74.917,78,66,50,50,95,99,86,72,76,67,58
Rayshawn,Beverly,Defender,76.38,57,80,60,70,69,69,79,91,89,61,83
Zachery,Reeder,Midfield,70.529,54,63,53,82,73,91,77,78,72,48,73
Jeremiah,McNamara,Defender,79.704,83,78,91,95,71,65,73,74,67,55,81
Dennis,Bauer,Midfield,62.684,63,74,58,54,70,45,69,70,59,65,78
Dallas,Delgado,Midfield,69.864,66,60,89,58,65,63,75,70,54,78,81
Steve,Pauley,Midfield,64.546,76,78,71,54,68,40,57,71,88,57,59
Darin,Lunsford,Forward,69.864,50,52,63,66,88,62,63,83,73,71,88
Christion,Saucedo,Defender,71.992,45,59,82,71,76,72,85,79,79,60,67
Mckinley,Ashworth,Defender,64.945,61,78,76,63,74,41,83,67,49,72,58
Easton,Roy,Forward,68.934,99,75,79,83,91,64,48,59,62,40,52
Isiah,Strand,Defender,79.438,70,57,84,61,71,81,68,91,69,90,89
Ty,Hayden,Midfield,67.87,38,59,70,54,79,69,83,61,81,77,73
Rahul,Munoz,Forward,69.199,75,63,77,70,70,69,51,70,82,64,63
Kyle,Browne,Forward,71.593,99,50,87,73,84,78,56,76,63,63,43
Nickolas,Santoro,Goaltender,78.906,90,50,59,86,75,99,77,86,80,65,60
Dewayne,Mcfarlane,Defender,76.778,64,84,63,76,58,76,82,85,92,65,66
Barrett,Myers,Midfield,78.241,84,65,95,83,96,54,58,62,62,79,84
Shaun,Driscoll,Midfield,76.38,66,78,58,58,76,75,81,82,59,96,79
Edward,Yazzie,Forward,68.136,62,57,73,68,60,74,68,56,77,78,73
Rohan,Pepper,Forward,63.615,56,63,57,56,69,51,70,66,68,82,74
Lars,Burnside,Midfield,71.593,82,78,69,67,75,88,55,92,51,49,66
Moses,Oliva,Midfield,58.562,60,73,63,67,48,86,46,75,51,49,56
Kain,Iverson,Midfield,63.083,70,64,63,80,56,88,58,70,71,43,45
Zaire,Beaty,Defender,68.003,87,67,79,61,50,63,77,49,74,59,79
Jefferson,Chavis,Defender,71.46,75,80,81,51,53,89,85,52,50,62,93
Aldo,Cornwell,Forward,80.634,79,99,86,82,82,61,73,75,76,55,72
Braiden,Koch,Forward,71.327,73,57,69,48,74,99,81,68,68,49,84
Paxton,Aaron,Forward,63.748,68,81,62,53,68,53,48,84,75,70,51
Kyree,Hensley,Forward,65.476,75,68,53,56,72,71,57,63,49,63,99
Isaias,Carvalho,Forward,62.817,51,83,54,57,84,54,82,75,63,62,41
Elmer,Mojica,Defender,65.343,45,77,62,56,68,72,73,55,85,57,75
Oliver,McCallum,Defender,62.152,93,71,56,64,47,57,54,65,46,64,84
Kristopher,Stack,Goaltender,68.136,55,57,63,79,61,92,80,38,98,49,74
Clark,Blank,Midfield,71.593,51,81,99,81,64,77,60,66,55,60,78
Kennedy,Waldrop,Defender,74.252,80,99,90,97,84,68,64,63,47,64,36
Elisha,Talbert,Midfield,56.568,36,57,53,58,70,50,81,49,68,76,61
Kristofer,Dodds,Goaltender,66.54,78,75,80,69,65,72,64,61,65,54,51
German,Tolliver,Forward,70.662,74,74,67,50,80,74,78,75,70,47,76
Timothy,Hiatt,Midfield,73.321,73,63,64,56,85,85,78,84,61,62,74
Mason,Paul,Defender,72.524,79,70,79,88,69,80,56,78,62,47,71
Lloyd,Calloway,Midfield,71.061,77,49,68,92,70,63,70,65,68,77,69
Leonardo,Boone,Defender,68.003,60,47,63,68,74,74,57,60,90,78,74
Cristofer,Alford,Midfield,72.922,65,80,68,78,66,59,55,66,81,90,74
Terrence,Hoskins,Defender,61.62,53,47,79,54,64,48,75,73,64,77,63
Damien,Crews,Midfield,77.975,87,79,73,62,83,99,83,83,57,63,51
Tyrique,Cardona,Midfield,67.338,60,68,64,91,71,53,74,57,75,51,76
Christion,Pitts,Midfield,64.413,87,62,65,44,50,68,79,69,72,58,64
Nikhil,Valdes,Defender,52.712,54,37,65,69,49,71,42,57,70,47,69
Elisha,Beverly,Goaltender,72.789,49,78,77,80,51,87,78,57,62,83,79
Heath,Reinhardt,Forward,65.343,80,86,63,53,36,68,62,59,65,71,82
Conner,Epperson,Defender,63.748,32,52,59,52,73,86,82,64,90,76,47
Ryland,Wenger,Midfield,66.939,93,51,56,73,67,74,47,54,70,76,76
Derrick,Vogt,Midfield,64.546,53,41,62,75,61,77,83,64,89,68,46
Grant,Simonson,Forward,58.828,66,46,61,62,79,74,60,64,53,61,50
Isaak,Huston,Midfield,68.668,61,66,67,74,99,76,56,73,67,58,53
Jaylin,Sauceda,Midfield,59.094,67,56,67,84,80,65,53,53,51,55,47
Ervin,Adam,Defender,60.291,75,92,77,33,94,65,38,45,58,61,49
Shayne,Keefe,Midfield,75.848,74,62,69,71,79,68,87,75,70,98,51
Braedon,Trujillo,Forward,55.504,86,65,50,54,35,79,54,79,47,21,81
Cedrick,Schulte,Midfield,70.662,81,74,73,77,64,84,46,75,64,66,61
Timothy,Sharp,Defender,65.742,90,71,73,63,61,75,38,60,60,67,70
Perry,Schulz,Defender,63.615,68,52,80,53,45,71,60,78,49,81,75
Gianni,Plummer,Midfield,75.183,73,92,73,89,75,68,99,48,52,66,64
Kendell,Dickens,Defender,72.922,70,66,71,86,62,82,86,62,63,55,79
Fernando,Reed,Forward,64.546,75,71,96,81,81,77,33,53,51,56,45
Abner,Mendenhall,Forward,69.864,76,71,73,59,79,72,65,43,55,78,88
Mackenzie,Forman,Forward,79.438,83,78,86,82,66,95,67,68,63,73,70
Ramsey,Bearden,Goaltender,78.374,66,63,74,64,87,65,86,51,86,95,86
Brennen,Feeney,Forward,53.244,40,59,56,58,47,58,68,37,58,67,86
Jessie,Haas,Defender,68.402,66,66,67,82,71,82,60,63,57,62,72
Hunter,Holmes,Midfield,62.551,43,73,70,61,56,53,71,88,73,50,66
Quinton,Cullen,Midfield,74.784,90,82,77,85,65,68,79,66,77,54,53
Sydney,Lawton,Defender,84.224,74,81,72,76,95,99,38,85,75,80,92
Gavyn,Kenny,Midfield,66.939,45,92,68,43,73,72,64,72,74,35,99
Abdullah,Driscoll,Defender,78.374,55,97,61,99,78,51,99,86,74,84,39
Brooks,Mosley,Forward,53.909,48,35,51,58,58,62,63,34,51,85,94
Herman,Bowser,Midfield,59.892,61,65,70,51,61,72,83,66,48,45,62
Lonnie,Elrod,Forward,75.981,78,87,82,76,69,75,81,65,47,79,66
Braiden,Fitch,Goaltender,78.507,84,69,64,96,60,99,50,44,82,90,86
Presley,Ly,Goaltender,60.424,36,30,74,87,79,70,76,56,65,59,56
Ronnie,Holguin,Forward,73.454,86,72,82,58,79,59,44,59,49,99,99
Messiah,Schmidt,Midfield,64.945,69,65,74,74,90,36,93,40,74,57,50
Samir,Young,Goaltender,65.343,69,39,81,59,69,65,79,48,67,79,70
Raekwon,Kurtz,Forward,67.87,75,73,67,60,67,73,61,59,66,70,73
Kavon,Thorne,Midfield,74.252,70,83,63,71,60,66,84,51,58,96,90
Ernest,Rivers,Defender,66.939,77,86,61,77,50,75,60,84,69,39,59
Jude,Church,Defender,71.327,46,46,61,65,80,86,86,69,68,99,64
Hector,Irving,Defender,78.507,55,84,74,99,99,49,99,41,59,85,80
Jordon,Brackett,Midfield,62.817,48,78,70,92,58,72,78,23,53,62,72
Nelson,Kraus,Forward,60.956,80,61,39,41,69,53,59,62,63,74,91
Terence,Crosby,Forward,70.529,62,74,68,70,78,77,59,63,62,72,79
Quentin,Link,Defender,68.136,71,57,80,69,80,71,50,70,69,55,74
Geovanni,Pardo,Midfield,58.828,61,51,65,50,48,77,68,48,67,59,82
Konner,Cormier,Goaltender,69.864,45,87,69,68,99,71,87,54,85,63,31
Bruce,Beaulieu,Defender,71.46,64,99,79,46,74,62,75,86,83,43,60
Jude,Lawton,Midfield,72.789,74,77,66,71,70,35,77,81,74,81,75
Rudy,Wetzel,Forward,73.853,63,75,86,70,42,64,87,99,81,63,59
Juwan,Asher,Goaltender,73.72,70,94,57,94,86,62,54,72,72,60,67
Zander,Mosley,Forward,69.997,71,64,73,60,47,95,46,73,65,85,81
Tyrell,Boykin,Forward,69.332,68,71,47,57,72,97,78,79,54,82,50
Gonzalo,Doll,Midfield,61.222,56,66,65,64,52,60,77,70,61,62,61
Corbin,Vogt,Midfield,55.903,80,39,47,69,52,86,50,70,65,57,39
Trever,Altamirano,Defender,68.402,72,61,72,55,59,81,53,69,81,78,67
Jalil,Zepeda,Midfield,84.623,76,93,83,65,86,85,88,88,67,75,64
Devonta,Langford,Defender,69.598,72,57,65,89,56,73,73,82,85,67,38
Hezekiah,Hagen,Forward,61.753,63,56,48,61,78,81,50,73,48,61,79
Dominik,Crum,Midfield,69.199,72,71,62,83,58,70,74,58,75,81,50
Federico,Argueta,Midfield,63.083,61,88,60,64,60,52,57,60,78,69,59
Tanner,Bearden,Forward,63.748,54,68,92,56,54,84,70,75,42,55,63
Daquan,Limon,Midfield,68.136,79,83,70,70,48,76,72,58,63,77,50
Brock,Calabrese,Midfield,69.066,82,52,74,82,82,73,73,58,46,44,87
Kahlil,Loy,Defender,61.488,99,68,70,51,61,67,58,60,65,52,45
Alvaro,Lord,Midfield,65.875,71,64,69,82,68,53,78,49,57,79,59
Quinlan,Roy,Forward,73.72,54,99,47,61,70,99,69,69,71,92,57
Zayne,Fredrickson,Goaltender,64.28,80,50,71,56,54,73,72,78,50,64,69
Geovanni,Cosby,Defender,67.338,74,55,67,65,44,81,57,63,65,89,80
Jaret,Hooper,Midfield,67.471,63,99,61,57,68,68,70,72,71,66,46
Ismael,Dumas,Forward,61.089,63,88,46,50,86,66,67,61,37,73,56
Demarco,Willett,Goaltender,71.327,70,80,86,88,44,67,74,57,87,52,65
Amir,Dobson,Defender,73.321,60,75,82,86,82,69,71,42,94,57,67
Ignacio,Schulz,Defender,75.183,71,56,77,74,87,63,66,57,89,80,79
Arthur,Riggins,Midfield,74.385,64,88,99,60,45,68,86,71,72,74,66
Arturo,Parson,Midfield,60.025,59,63,76,81,65,66,58,63,50,50,54
Johnny,Noble,Defender,66.008,77,72,56,47,70,42,79,76,62,80,69
Armani,Skinner,Midfield,67.072,59,59,63,71,66,56,65,83,56,65,95
Jude,Dodds,Midfield,71.726,68,60,81,67,69,66,56,60,60,87,99
Keaton,Carbone,Midfield,64.014,81,78,69,65,70,50,69,65,64,43,61
Aubrey,Cochran,Midfield,72.922,78,89,63,81,77,64,62,85,78,50,55
Benny,Epps,Midfield,77.31,99,67,77,81,77,69,68,75,45,65,92
Ricky,Hurst,Midfield,60.557,53,75,64,40,80,64,71,60,60,67,55
Milo,Deleon,Defender,71.46,81,72,99,66,44,60,69,99,74,64,43
Bradly,Bull,Goaltender,66.407,43,67,65,56,63,70,97,86,64,71,51
Glenn,Mize,Midfield,67.471,67,55,92,96,56,60,65,75,72,57,46
Jaylin,Rico,Defender,68.136,76,65,70,99,74,68,36,55,78,61,64
Toby,Lawton,Midfield,67.338,59,49,78,65,67,58,74,64,71,91,64
Dylan,Pfeifer,Forward,73.72,79,86,95,94,74,45,81,60,53,65,56
Jaren,Schmitt,Defender,81.565,62,61,74,96,81,67,74,85,72,77,98
Brent,Clary,Defender,68.934,81,81,59,80,85,53,60,48,56,85,64
Sincere,Tripp,Forward,63.482,62,58,62,54,32,49,85,83,62,73,91
Omar,Colvin,Forward,66.274,60,75,76,60,50,73,80,57,59,68,74
Stuart,Littlefield,Midfield,64.28,75,65,54,45,72,85,99,63,62,39,58
Mekhi,Metcalf,Defender,74.518,72,97,88,45,92,73,69,61,71,61,65
Stephen,Weiner,Midfield,60.557,37,62,38,75,54,53,65,84,70,78,73
Javen,Lira,Midfield,63.748,61,98,79,73,62,50,80,51,48,51,60
Markel,Rector,Goaltender,73.587,74,52,99,78,70,72,73,70,74,63,62
Bowen,Joyner,Forward,65.343,34,53,92,62,55,53,70,66,83,81,76
Jaylen,Goldman,Forward,75.848,57,79,65,85,99,62,85,67,79,69,57
Sherman,Causey,Forward,64.812,57,36,75,70,81,79,63,64,50,95,51
Keaton,Cosby,Forward,75.715,82,63,83,87,73,48,84,61,62,88,72
Jabari,Haddad,Forward,67.471,63,93,35,74,51,81,61,61,55,74,93
Shelby,Hendricks,Forward,59.626,71,60,51,46,71,63,85,53,59,58,65
Jameson,Thurston,Midfield,67.072,57,51,76,65,52,83,75,70,74,80,55
Rigoberto,Sneed,Forward,60.69,82,49,49,55,61,65,68,69,45,77,70
Jaycob,Howard,Midfield,67.604,78,77,65,77,63,73,65,73,62,48,61
Giovanny,Villalobos,Forward,56.967,76,48,77,43,77,68,61,27,63,74,48
Bruce,Rutledge,Defender,64.28,81,59,45,70,60,90,94,36,69,60,53
Philip,Carrington,Midfield,65.476,67,73,87,82,59,62,41,57,45,86,67
Chase,Brittain,Defender,62.152,41,68,65,43,65,84,73,57,77,65,63
Markus,Taft,Forward,74.917,66,96,76,81,73,60,76,87,69,64,49
Drew,Callahan,Defender,58.695,64,84,56,42,58,65,43,46,65,99,53
Eric,Marquardt,Defender,61.886,74,57,73,51,45,46,79,81,52,69,72
Jalil,Schoen,Midfield,69.199,62,77,81,58,43,44,80,91,67,75,76
Alijah,Kimball,Forward,63.216,74,55,62,50,56,58,84,77,47,96,50
Samir,Ali,Defender,73.853,72,61,75,70,76,89,61,71,67,73,74
Karson,Rutledge,Defender,68.535,80,84,78,89,52,65,86,42,80,43,50
Austyn,Winslow,Forward,66.806,61,86,42,83,68,50,81,95,56,54,60
Genaro,Crum,Midfield,66.806,69,61,68,75,67,54,84,62,48,62,86
Tyson,Montez,Midfield,74.651,53,89,77,68,65,99,75,67,74,80,48
Deontae,Kimball,Defender,70.396,77,78,77,48,74,81,60,60,74,74,60
Troy,Dobson,Goaltender,68.535,55,81,76,76,99,78,56,78,67,35,48
Kyron,Anthony,Goaltender,67.338,63,64,53,55,93,60,58,69,75,71,79
Asa,Mcallister,Goaltender,58.961,58,46,63,58,49,70,84,66,64,65,54
Cruz,Grissom,Defender,70.396,66,78,78,99,56,53,74,56,77,68,58
Edward,Reddick,Defender,69.731,63,66,81,83,86,73,51,97,70,45,43
Jadyn,Spence,Forward,62.019,42,82,78,66,44,65,67,60,62,70,64
